speciesNameSCI	imageName	imageSourceUrl	PhotographerName	photographerUrl	license
Dendrocopos major	Great Spotted Woodpecker	http://www.flickr.com/photos/ressaure/4652457924/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Dendrocopos minor	Picoides minor	http://www.flickr.com/photos/ressaure/4085012975/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Picoides tridactylus	Picoides tridactylus	http://www.flickr.com/photos/ressaure/4398552036/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Lullula arborea	Wood Lark - Estremadura Spain_2693-22	http://www.flickr.com/photos/francesco_veronesi/4456952360/	Francesco Veronesi	http://www.flickr.com/people/francesco_veronesi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Alauda arvensis	Skylark (Alauda arvensis) with a caterpillar in its beak.	http://commons.wikimedia.org/wiki/File:Alauda_arvensis_2.jpg	Daniel Pettersson	http://www.fagelfoto.se/	http://creativecommons.org/licenses/by-sa/2.5/se/deed.en
Eremophila alpestris	Shore Lark (Eremophila alpestris)	http://www.flickr.com/photos/markkilner/5081256929/in/set-72157594344569266/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Delichon urbicum	House Martin - Delichon urbicum - Bæjasvala	http://www.flickr.com/photos/omarrun/3567672021/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Anthus trivialis	Tree Pipit	http://www.flickr.com/photos/ressaure/4540710658/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Anthus pratensis	Meadow Pipit - Anthus pratensis - Þúfutittlingur	http://www.flickr.com/photos/omarrun/5057560343/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Anthus petrosus	Rock Pipit (Anthus petrosus)	http://www.flickr.com/photos/markkilner/5157895235/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
