Laji	SCI	FI	SV	Luokka2015	Kriteerit	Elinymp-1	Elinymp-muut	Syyt	Uhat	Luokka2010	Muutossyy
Aquila chrysaetos, maakotka, kungsörn	Aquila chrysaetos	maakotka	kungsörn	VU	D1	Mk	S	P, H, Ke, Mv	H, Mv, P, R	VU	
Aquila clanga, kiljukotka, större skrikörn	Aquila clanga	kiljukotka	större skrikörn	CR	D1	Rj	Mk	P, H, Muu, U	P, H, Muu, Mv, S	CR	
Arenaria interpres, karikukko, roskarl	Arenaria interpres	karikukko	roskarl	EN	A2ab	Ri		U, Vie	U	VU	1
Aythya ferina, punasotka, brunand	Aythya ferina	punasotka	brunand	EN	A2abcd	Vsr		Vie, muu	Vie, muu, P, Kil	VU	1
Aythya fuligula, tukkasotka, vigg	Aythya fuligula	tukkasotka	vigg	EN	A2abcd	Vs	Vi	muu	muu	VU	1
Aythya marila, lapasotka, bergand	Aythya marila	lapasotka	bergand	EN	A2abcd	Vi	Vsk	P, Kh	P, Kh, U, H, I, Kil, Vie	EN	
Bubo bubo, huuhkaja, berguv	Bubo bubo	huuhkaja	berguv	EN	A2ab	K	Mk	H, Muu, P	H, Muu, P	NT	1
Bubo scandiacus, tunturipöllö, fjälluggla	Bubo scandiacus	tunturipöllö	fjälluggla	CR	D1	Tk	Iv, Vi	Ke, P, H	H, Ke, Muu, I	CR	
Buteo buteo, hiirihaukka, ormvråk	Buteo buteo	hiirihaukka	ormvråk	VU	A2ab	Mk		U, M, I	U, M, I, Mv	VU	
Buteo lagopus, piekana, fjällvråk	Buteo lagopus	piekana	fjällvråk	EN	A2ab	Tk	K, Mk	Muu	I, Muu	LC	2
Calidris alpina, suosirri, kärrsnäppa	Calidris alpina	suosirri	kärrsnäppa	NT		Ts, Rin	Tk, Rit	?, N, R, H	I, ?, N, H, S	LC	1
Calidris alpina alpina, suosirri, kärrsnäppa	Calidris alpina alpina	suosirri	kärrsnäppa	NT		Ts	Tk	?	I, ?	LC	1
