FI	Genus	Species	Luokka2015	Luokka2010	Luokka2000	Yks2015	Min2015	Max2015	Avg2015	CHECKYKS
Varpuspöllö	Glaucidium	passerinum	NT	LC	LC	7100	7100		7100	100
Lehtopöllö	Strix	aluco	LC	LC	LC	2300	2300		2300	300
Viirupöllö	Strix	uralensis	LC	LC	LC	8300	8300		8300	300
Lapinpöllö	Strix	nebulosa	LC	LC	LC	200-4200	200	4200	2200	
Sarvipöllö	Asio	otus	LC	LC	LC	4400	4400		4400	400
Suopöllö	Asio	flammeus	LC	LC	LC	5900	5900		5900	900
Helmipöllö	Aegolius	funereus	NT	NT	LC	8500	8500		8500	500
Kehrääjä	Caprimulgus	europaeus	LC	LC	NT	6000-10000	6000	10000	8000	
Tervapääsky	Apus	apus	VU	LC	LC	39000	39000		39000	0
Kuningaskalastaja	Alcedo	atthis	CR	CR	NE	2-30	2	30	16	
Käenpiika	Jynx	torquilla	LC	NT	VU	25000	25000		25000	0
Harmaapäätikka	Picus	canus	LC	LC	NT	7500	7500		7500	500
Palokärki	Dryocopus	martius	LC	LC	LC	63000	63000		63000	0
Käpytikka	Dendrocopos	major	LC	LC	LC	820000	820000		820000	0
Valkoselkätikka	Dendrocopos	leucotos	VU	EN	CR	380-380	380	380	380	
Pikkutikka	Dendrocopos	minor	LC	LC	VU	7800	7800		7800	800
Pohjantikka	Picoides	tridactylus	LC	LC	NT	54000	54000		54000	0
Kangaskiuru	Lullula	arborea	VU	LC	NT	8400	8400		8400	400
Kiuru	Alauda	arvensis	LC	LC	LC	450000	450000		450000	0
Tunturikiuru	Eremophila	alpestris	CR	CR	CR	0-20	0	20	10	
Törmäpääsky	Riparia	riparia	VU	VU	LC	46000	46000		46000	0
Haarapääsky	Hirundo	rustica	NT	LC	LC	270000	270000		270000	0
Räystäspääsky	Delichon	urbicum	EN	LC	LC	140000	140000		140000	0
Metsäkirvinen	Anthus	trivialis	LC	LC	LC	3500000	3500000		3500000	
Niittykirvinen	Anthus	pratensis	NT	NT	LC	1100000	1100000		1100000	
Lapinkirvinen	Anthus	cervinus	VU	VU	LC	2000-4000	2000	4000	3000	
Luotokirvinen	Anthus	petrosus	LC	LC	LC	2800-3800	2800	3800	3300	
Keltavästäräkki	Motacilla	flava	NT	VU	LC	1100000	1100000		1100000	
Sitruunavästäräkki	Motacilla	citreola	EN	VU		10-60	10	60	35	
Virtavästäräkki	Motacilla	cinerea	VU	VU	NE	60-120	60	120	90	
Västäräkki	Motacilla	alba	LC	LC	LC	990000	990000		990000	0
Tilhi	Bombycilla	garrulus	LC	LC	LC	160000	160000		160000	0
Koskikara	Cinclus	cinclus	VU	VU	NT	500-700	500	700	600	
Peukaloinen	Troglodytes	troglodytes	LC	LC	LC	220000	220000		220000	0
Rautiainen	Prunella	modularis	LC	LC	LC	970000	970000		970000	0
Punarinta	Erithacus	rubecula	LC	LC	LC	4600000	4600000		4600000	
Satakieli	Luscinia	luscinia	LC	LC	LC	42000	42000		42000	0
Sinirinta	Luscinia	svecica	LC	NT	LC	110000	110000		110000	0
Sinipyrstö	Tarsiger	cyanurus	NT	VU	VU	5200	5200		5200	200
Mustaleppälintu	Phoenicurus	ochruros	LC	NT	NE	300-600	300	600	450	
Leppälintu	Phoenicurus	phoenicurus	LC	LC	LC	1200000	1200000		1200000	
Pensastasku	Saxicola	rubetra	LC	LC	NT	460000	460000		460000	0
Kivitasku	Oenanthe	oenanthe	NT	VU	NT	160000	160000		160000	0
Sepelrastas	Turdus	torquatus	EN	VU	NT	100-300	100	300	200	
Mustarastas	Turdus	merula	LC	LC	LC	1200000	1200000		1200000	
Räkättirastas	Turdus	pilaris	LC	LC	LC	3200000	3200000		3200000	
Laulurastas	Turdus	philomelos	LC	LC	LC	2000000	2000000		2000000	
Punakylkirastas	Turdus	iliacus	LC	LC	LC	2800000	2800000		2800000	
Kulorastas	Turdus	viscivorus	LC	LC	LC	310000	310000		310000	0
Pensassirkkalintu	Locustella	naevia	LC	LC	LC	3900	3900		3900	900
Viitasirkkalintu	Locustella	fluviatilis	LC	LC	LC	4900	4900		4900	900
Ruokosirkkalintu	Locustella	luscinioides	EN	VU		4-20	4	20	12	
Ruokokerttunen	Acrocephalus	schoenobaenus	LC	LC	LC	210000	210000		210000	0
Viitakerttunen	Acrocephalus	dumetorum	LC	LC	LC	85000	85000		85000	0
Luhtakerttunen	Acrocephalus	palustris	LC	LC	LC	41000	41000		41000	0
Rytikerttunen	Acrocephalus	scirpaceus	LC	LC	LC	50000	50000		50000	0
Rastaskerttunen	Acrocephalus	arundinaceus	VU	VU	VU	500-1000	500	1000	750	
Pikkukultarinta	Hippolais	caligata	VU	VU		20-100	20	100	60	
Kultarinta	Hippolais	icterina	LC	LC	LC	49000	49000		49000	0
Kirjokerttu	Sylvia	nisoria	VU	EN	LC	400-1600	400	1600	1000	
Hernekerttu	Sylvia	curruca	LC	LC	LC	590000	590000		590000	0
Pensaskerttu	Sylvia	communis	LC	LC	LC	700000	700000		700000	0
Lehtokerttu	Sylvia	borin	LC	LC	LC	1700000	1700000		1700000	
Mustapääkerttu	Sylvia	atricapilla	LC	LC	LC	220000	220000		220000	0
Idänuunilintu	Phylloscopus	trochiloides	LC	LC	LC	50000	50000		50000	0
Lapinuunilintu	Phylloscopus	borealis	VU	NT	LC	1000-4000	1000	4000	2500	
Sirittäjä	Phylloscopus	sibilatrix	LC	NT	LC	400000	400000		400000	0
Tiltaltti	Phylloscopus	collybita	LC	LC	VU	650000	650000		650000	0
Pajulintu	Phylloscopus	trochilus	LC	LC	LC	14000000	14000000		14000000	
Hippiäinen	Regulus	regulus	LC	LC	LC	2100000	2100000		2100000	
Harmaasieppo	Muscicapa	striata	LC	LC	LC	3400000	3400000		3400000	
Pikkusieppo	Ficedula	parva	LC	LC	NT	23000	23000		23000	0
Kirjosieppo	Ficedula	hypoleuca	LC	LC	LC	1000000	1000000		1000000	
Viiksitimali	Panurus	biarmicus	VU	NT	NT	1000-2000	1000	2000	1500	
Pyrstötiainen	Aegithalos	caudatus	LC	LC	LC	72000	72000		72000	0
Hömötiainen	Parus	montanus	VU	LC	LC	1400000	1400000		1400000	
Lapintiainen	Parus	cinctus	LC	LC	NT	160000	160000		160000	0
Töyhtötiainen	Parus	cristatus	VU	LC	LC	870000	870000		870000	0
Kuusitiainen	Parus	ater	LC	LC	LC	130000	130000		130000	0
Sinitiainen	Parus	caeruleus	LC	LC	LC	1300000	1300000		1300000	
Talitiainen	Parus	major	LC	LC	LC	3700000	3700000		3700000	
Pähkinänakkeli	Sitta	europaea	VU	NA		0-40	0	40	20	
Puukiipijä	Certhia	familiaris	LC	LC	LC	470000	470000		470000	0
Pussitiainen	Remiz	pendulinus	EN	VU		2-30	2	30	16	
Kuhankeittäjä	Oriolus	oriolus	EN	NT	LC	7100	7100		7100	100
Pikkulepinkäinen	Lanius	collurio	LC	LC	NT	120000	120000		120000	0
Isolepinkäinen	Lanius	excubitor	LC	LC	NT	18000	18000		18000	0
Närhi	Garrulus	glandarius	LC	LC	LC	240000	240000		240000	0
Kuukkeli	Perisoreus	infaustus	NT	NT	NT	160000	160000		160000	0
Harakka	Pica	pica	LC	LC	LC	390000	390000		390000	0
Pähkinähakki	Nucifraga	caryocatactes	LC	LC	LC	4000-7000	4000	7000	5500	
Naakka	Corvus	monedula	LC	LC	LC	270000	270000		270000	0
Mustavaris	Corvus	frugilegus	LC	LC	LC	3000-3200	3000	3200	3100	
Varis	Corvus	corone	LC	LC	LC	37000	37000		37000	0
Korppi	Corvus	corax	LC	LC	LC	43000	43000		43000	0
Kottarainen	Sturnus	vulgaris	LC	LC	NT	130000	130000		130000	0
Varpunen	Passer	domesticus	VU	LC	NT	490000	490000		490000	0
Pikkuvarpunen	Passer	montanus	LC	LC	LC	350000	350000		350000	0
Peippo	Fringilla	coelebs	LC	LC	LC	15000000	15000000		15000000	
Järripeippo	Fringilla	montifringilla	LC	LC	LC	2600000	2600000		2600000	
Keltahemppo	Serinus	serinus	NA	NA		0-6	0	6	3	
Viherpeippo	Carduelis	chloris	VU	LC	LC	580000	580000		580000	0
Tikli	Carduelis	carduelis	LC	LC	LC	25000	25000		25000	0
Vihervarpunen	Carduelis	spinus	LC	LC	LC	3300000	3300000		3300000	
Hemppo	Carduelis	cannabina	LC	LC	LC	41000	41000		41000	0
Vuorihemppo	Carduelis	flavirostris	EN	VU	DD	0-20	0	20	10	
Urpiainen	Carduelis	flammea	LC	LC	LC	850000	850000		850000	0
Tundraurpiainen	Carduelis	hornemanni	LC	LC	LC	21000	21000		21000	0
